"","year","foi"
"320",1983,0.02
"321",1983,0.02
"322",1983,0.02
"323",1983,0.02
"324",1983,0.02
"325",1983,0.02
"326",1983,0.02
"327",1983,0.02
"328",1983,0.02
"329",1983,0.02
"330",1983,0.02
"331",1983,0.02
"332",1983,0.02
"333",1983,0.02
"334",1983,0.02
"335",1983,0.02
"336",1983,0.02
"337",1983,0.02
"338",1983,0.02
"339",1983,0.02
"340",1983,0.02
"341",1983,0.02
"342",1984,0.02
"343",1984,0.02
"344",1984,0.02
"345",1984,0.02
"346",1984,0.02
"347",1984,0.02
"348",1984,0.02
"349",1985,0.02
"350",1985,0.02
"351",1985,0.02
"352",1985,0.02
"353",1985,0.02
"354",1985,0.02
"355",1985,0.02
"356",1985,0.02
"357",1985,0.02
"358",1985,0.02
"359",1985,0.02
"360",1985,0.02
"361",1985,0.02
"362",1985,0.02
"363",1985,0.02
"364",1985,0.02
"365",1985,0.02
"366",1985,0.02
"367",1985,0.02
"368",1985,0.02
"369",1985,0.02
"370",1985,0.02
"371",1985,0.02
"372",1985,0.02
"373",1985,0.02
"374",1985,0.02
"375",1985,0.02
"376",1985,0.02
"377",1985,0.02
"378",1985,0.02
"379",1985,0.02
"380",1985,0.02
"381",1985,0.02
"382",1985,0.02
"383",1985,0.02
"384",1985,0.02
"385",1985,0.02
"386",1985,0.02
"387",1985,0.02
"388",1985,0.02
"389",1985,0.02
"390",1985,0.02
"391",1985,0.02
"392",1985,0.02
"393",1985,0.02
"394",1985,0.02
"395",1985,0.02
"396",1985,0.02
"397",1985,0.02
"398",1986,0.02
"399",1986,0.02
"400",1986,0.02
"401",1986,0.02
"402",1986,0.02
"403",1986,0.02
"404",1986,0.02
"405",1986,0.02
"406",1986,0.02
"407",1986,0.02
"408",1986,0.02
"409",1986,0.02
"410",1986,0.02
"411",1986,0.02
"412",1987,0.02
"413",1987,0.02
"414",1987,0.02
"415",1987,0.02
"416",1987,0.02
"417",1987,0.02
"418",1987,0.02
"419",1987,0.02
"420",1987,0.02
"421",1987,0.02
"422",1987,0.02
"423",1987,0.02
"424",1987,0.02
"425",1987,0.02
"426",1987,0.02
"427",1987,0.02
"428",1987,0.02
"429",1987,0.02
"430",1987,0.02
"431",1987,0.02
"432",1987,0.02
"433",1987,0.02
"434",1987,0.02
"435",1987,0.02
"436",1987,0.02
"437",1987,0.02
"438",1987,0.02
"439",1987,0.02
"440",1987,0.02
"441",1987,0.02
"442",1987,0.02
"443",1987,0.02
"444",1987,0.02
"445",1987,0.02
"446",1987,0.02
"447",1987,0.02
"448",1987,0.02
"449",1987,0.02
"450",1987,0.02
"451",1987,0.02
"452",1987,0.02
"453",1987,0.02
"454",1987,0.02
"455",1987,0.02
"456",1987,0.02
"457",1987,0.02
"458",1987,0.02
"459",1988,0.02
"460",1988,0.02
"461",1988,0.02
"462",1988,0.02
"463",1988,0.02
"464",1988,0.02
"465",1988,0.02
"466",1988,0.02
"467",1988,0.02
"468",1988,0.02
"469",1988,0.02
"470",1988,0.02
"471",1988,0.02
"472",1988,0.02
"473",1988,0.02
"474",1988,0.02
"475",1988,0.02
"476",1988,0.02
"477",1988,0.02
"478",1988,0.02
"479",1988,0.02
"480",1988,0.02
"481",1988,0.02
"482",1988,0.02
"483",1988,0.02
"484",1988,0.02
"485",1988,0.02
"486",1988,0.02
"487",1989,0.02
"488",1989,0.02
"489",1989,0.02
"490",1989,0.02
"491",1989,0.02
"492",1989,0.02
"493",1989,0.02
"494",1989,0.02
"495",1989,0.02
"496",1989,0.02
"497",1989,0.02
"498",1989,0.02
"499",1989,0.02
"500",1989,0.02
"501",1989,0.02
"502",1989,0.02
"503",1989,0.02
"504",1989,0.02
"505",1989,0.02
"506",1989,0.02
"507",1989,0.02
"508",1989,0.02
"509",1989,0.02
"510",1989,0.02
"511",1989,0.02
"512",1989,0.02
"513",1989,0.02
"514",1990,0.02
"515",1990,0.02
"516",1990,0.02
"517",1990,0.02
"518",1990,0.02
"519",1990,0.02
"520",1990,0.02
"521",1990,0.02
"522",1990,0.02
"523",1990,0.02
"524",1990,0.02
"525",1990,0.02
"526",1990,0.02
"527",1990,0.02
"528",1990,0.02
"529",1990,0.02
"530",1990,0.02
"531",1990,0.02
"532",1990,0.02
"533",1990,0.02
"534",1990,0.02
"535",1990,0.02
"536",1990,0.02
"537",1990,0.02
"538",1990,0.02
"539",1990,0.02
"540",1990,0.02
"541",1990,0.02
"542",1990,0.02
"543",1990,0.02
"544",1990,0.02
"545",1990,0.02
"546",1990,0.02
"547",1990,0.02
"548",1990,0.02
"549",1990,0.02
"550",1990,0.02
"551",1990,0.02
"552",1990,0.02
"553",1990,0.02
"554",1991,0.02
"555",1991,0.02
"556",1991,0.02
"557",1991,0.02
"558",1991,0.02
"559",1991,0.02
"560",1991,0.02
"561",1991,0.02
"562",1991,0.02
"563",1991,0.02
"564",1991,0.02
"565",1991,0.02
"566",1991,0.02
"567",1991,0.02
"568",1991,0.02
"569",1991,0.02
"570",1991,0.02
"571",1991,0.02
"572",1991,0.02
"573",1991,0.02
"574",1991,0.02
"575",1991,0.02
"576",1991,0.02
"577",1991,0.02
"578",1991,0.02
"579",1991,0.02
"580",1991,0.02
"581",1991,0.02
"582",1991,0.02
"583",1991,0.02
"584",1991,0.02
"585",1992,0.02
"586",1992,0.02
"587",1992,0.02
"588",1992,0.02
"589",1992,0.02
"590",1992,0.02
"591",1992,0.02
"592",1992,0.02
"593",1992,0.02
"594",1992,0.02
"595",1992,0.02
"596",1992,0.02
"597",1992,0.02
"598",1992,0.02
"599",1992,0.02
"600",1992,0.02
"601",1992,0.02
"602",1993,0.02
"603",1993,0.02
"604",1993,0.02
"605",1993,0.02
"606",1993,0.02
"607",1993,0.02
"608",1993,0.02
"609",1993,0.02
"610",1993,0.02
"611",1993,0.02
"612",1993,0.02
"613",1993,0.02
"614",1993,0.02
"615",1993,0.02
"616",1993,0.02
"617",1993,0.02
"618",1993,0.02
"619",1993,0.02
"620",1993,0.02
"621",1993,0.02
"622",1993,0.02
"623",1993,0.02
"624",1993,0.02
"625",1993,0.02
"626",1993,0.02
"627",1993,0.02
"628",1993,0.02
"629",1993,0.02
"630",1993,0.02
"631",1993,0.02
"632",1993,0.02
"633",1993,0.02
"634",1993,0.02
"635",1993,0.02
"636",1994,0.02
"637",1994,0.02
"638",1994,0.02
"639",1994,0.02
"640",1994,0.02
"641",1994,0.02
"642",1994,0.02
"643",1994,0.02
"644",1994,0.02
"645",1994,0.02
"646",1994,0.02
"647",1994,0.02
"648",1994,0.02
"649",1994,0.02
"650",1994,0.02
"651",1994,0.02
"652",1994,0.02
"653",1994,0.02
"654",1994,0.02
"655",1994,0.02
"656",1994,0.02
"657",1994,0.02
"658",1994,0.02
"659",1994,0.02
"660",1994,0.02
"661",1994,0.02
"662",1994,0.02
"663",1994,0.02
"664",1994,0.02
"665",1994,0.02
"666",1995,0.02
"667",1995,0.02
"668",1995,0.02
"669",1995,0.02
"670",1995,0.02
"671",1995,0.02
"672",1995,0.02
"673",1995,0.02
"674",1995,0.02
"675",1995,0.02
"676",1995,0.02
"677",1995,0.02
"678",1995,0.02
"679",1995,0.02
"680",1995,0.02
"681",1995,0.02
"682",1995,0.02
"683",1995,0.02
"684",1995,0.02
"685",1995,0.02
"686",1995,0.02
"687",1995,0.02
"688",1995,0.02
"689",1995,0.02
"690",1995,0.02
"691",1995,0.02
"692",1995,0.02
"693",1995,0.02
"694",1995,0.02
"695",1995,0.02
"696",1995,0.02
"697",1995,0.02
"698",1995,0.02
"699",1995,0.02
"700",1995,0.02
"701",1995,0.02
"702",1995,0.02
"703",1995,0.02
"704",1995,0.02
"705",1995,0.02
"706",1995,0.02
"707",1995,0.02
"708",1995,0.02
"709",1995,0.02
"710",1995,0.02
"711",1995,0.02
"712",1995,0.02
"713",1995,0.02
"714",1995,0.02
"715",1995,0.02
"716",1996,0.02
"717",1996,0.02
"718",1996,0.02
"719",1996,0.02
"720",1996,0.02
"721",1996,0.02
"722",1996,0.02
"723",1996,0.02
"724",1996,0.02
"725",1996,0.02
"726",1996,0.02
"727",1996,0.02
"728",1996,0.02
"729",1996,0.02
"730",1996,0.02
"731",1996,0.02
"732",1996,0.02
"733",1996,0.02
"734",1996,0.02
"735",1996,0.02
"736",1996,0.02
"737",1996,0.02
"738",1996,0.02
"739",1996,0.02
"740",1997,0.02
"741",1997,0.02
"742",1997,0.02
"743",1997,0.02
"744",1997,0.02
"745",1997,0.02
"746",1997,0.02
"747",1997,0.02
"748",1997,0.02
"749",1997,0.02
"750",1997,0.02
"751",1997,0.02
"752",1997,0.02
"753",1997,0.02
"754",1997,0.02
"755",1997,0.02
"756",1997,0.02
"757",1997,0.02
"758",1997,0.02
"759",1997,0.02
"760",1997,0.02
"761",1997,0.02
"762",1997,0.02
"763",1997,0.02
"764",1997,0.02
"765",1997,0.02
"766",1998,0.02
"767",1998,0.02
"768",1998,0.02
"769",1998,0.02
"770",1998,0.02
"771",1998,0.02
"772",1998,0.02
"773",1998,0.02
"774",1998,0.02
"775",1998,0.02
"776",1998,0.02
"777",1998,0.02
"778",1998,0.02
"779",1998,0.02
"780",1998,0.02
"781",1998,0.02
"782",1998,0.02
"783",1998,0.02
"784",1998,0.02
"785",1998,0.02
"786",1998,0.02
"787",1998,0.02
"788",1998,0.02
"789",1998,0.02
"790",1998,0.02
"791",1998,0.02
"792",1998,0.02
"793",1998,0.02
"794",1998,0.02
"795",1998,0.02
"796",1998,0.02
"797",1998,0.02
"798",1998,0.02
"799",1998,0.02
"800",1998,0.02
"801",1998,0.02
"802",1998,0.02
"803",1998,0.02
"804",1998,0.02
"805",1998,0.02
"806",1998,0.02
"807",1998,0.02
"808",1999,0.02
